id,date,retweets,source,author,likes,text,twitter_name,location,verified,followers,friends,polarity,subjectivity
15476036,2020-12-15 19:54:01,1,Buffer,Rachel Lincoln Sarnoff,0,New UN report shows the undercurrent of the global economy has shifted and big polluters are moving faster to slow climate change But is it enough activist activism equity climateequity climate climatechange climatecrisis climateemergency,rachellsarnoff,"Los Angeles, CA",False,7651,6803,-0.03272727272727274,0.2909090909090909
2779021908,2020-12-15 19:50:03,0,Hootsuite Inc.,WRI Finance,0,Through this September the US experienced 16 separate billiondollar weather and climate disasters and 2020 is expected to set the record once the dust settles,WRIFinance,"Washington, DC",False,2244,1627,0.35000000000000003,0.65
1210660495033880580,2020-12-15 19:40:47,0,Twitter for iPhone,Self Driving Containers 🇺🇸,0,JohnKerry Climate Change How to SAVE New York City and Metro Ares 2 dams and 1 artificial river No other choice,SelfContainers,"Newark, NJ USA 🇱🇷",False,31,368,-0.1337121212121212,0.6098484848484849
1284066660,2020-12-15 19:34:01,0,Jocial,Social & Political,1,Can We Terraform the Sahara to Stop Climate Change climatecrisis climate,PolyConundrum,Florida & Nova Scotia,False,1543,1193,0.0,0.0
1306685893747515392,2020-12-15 19:28:04,0,Twitter Web App,Who's Saving the Planet?,0,Looking for a book about climatechangeHere are some book recommendations from climate change science to the solutions for yourself or to gift to someone this seasonReply or quote with more climaterelated book recommendations climate books HolidaySeason,wstptech,"Brooklyn, NY",False,139,561,0.5,0.5
727536186655383552,2020-12-15 19:26:01,0,eClincher,SEMODU,0,We should turn in climate change the traffic lights on red and stop climatechange quickly environment just because of the deniers,semodu_ag,"Stuttgart, München, Birmingham",False,1716,2200,0.16666666666666666,0.25
824070385578541057,2020-12-15 19:20:36,0,Twitter for iPhone,"Ministry of Commerce, Trade, Tourism and Transport",1,MCTTTFiji leads National Stakeholder Consultations on the Agreement on Climate Change Trade and Sustainability ACCTS for Environmental Goods pillar ACCTS will demonstrate in a practical way how traderules can achieve climaterelated sustainable development objectives,MCTTTFiji,Fiji,False,2617,149,0.0,0.0
1143827532938014725,2020-12-15 19:17:16,0,LinkedIn,Andrew Knell,0,Not a time to get complacent but some positive news ParisAgreement climate change carbon future china ft,Andrew_Invest,United Kingdom,False,346,977,0.11363636363636363,0.3352272727272727
2905399890,2020-12-15 19:15:08,0,Hootsuite Inc.,UniGuide® Ⓥ,1,The textile industry has a significant carbon footprint Heres how changing the fabric that makes our clothes can cut greenhouse gas emissions and pollution fashion climate climatechange co2 style,uniguide,"California, USA",False,25034,13028,0.375,0.875
918588802280517632,2020-12-15 18:36:39,0,Twitter Web App,thouhid,0,Climate Change Deniers TShirt Teespring climate change deniers global governance yearth vaccin corona 2020 harrisonford,thouhidul3,lalmonirhat,False,155,668,0.0,0.0
